group,score
1,0.90
1,0.78
1,0.68
1,0.32
1,0.47
1,0.77
1,0.90
1,0.90
1,0.78
1,0.84
1,0.59
1,0.86
1,0.98
1,0.92
1,0.81
1,0.78
1,0.86
1,0.78
1,0.64
2,0.75
2,0.85
2,0.63
2,0.92
2,0.80
2,0.91
2,0.66
2,0.60
2,0.46
2,0.64
2,0.88
3,0.64
3,0.41
3,0.72
3,0.90
3,0.68
3,0.78
3,0.66
3,0.88
3,0.94
3,0.94
3,0.86
3,0.96
3,0.94
4,0.64
4,0.88
4,0.96
4,0.88
4,0.74
4,0.88
4,0.66
4,0.62
4,0.78
4,0.66
4,0.60
4,0.94
4,0.70
4,0.56
4,0.92
4,0.76
4,0.94
4,0.80
5,0.90
5,0.82
5,0.64
5,0.05
5,0.49
5,0.62
5,0.80
5,0.86
5,0.80
5,0.82
5,0.82
5,0.41
5,0.74
5,0.66
5,0.86
5,0.52
5,0.80
5,0.68
5,1.00
5,0.88
